000008+022658,0.035240,2.449440,-99.,-99.,0.43,-99.00,-99.,-99.,-99.00,PDR2,GG,CNN,C,,,SuGOHI10, 
000018+001617,0.078839,0.271578,-99.,-99.,0.63,-99.00,-99.,19.91,-99.00,HSC,GG,,B,,,HOLISMOKES8, 
000020-002051,0.086810,-0.347502,0.560,-99.,0.95,-99.00,-99.,20.56,-99.00,HSC,GG,,B,,,HOLISMOKES8, 
000051-002936,0.215730,-0.493490,-99.,-99.,-99.00,-99.00,-99.,-99.,-99.00,PDR2,GG,CNN,C,,,SuGOHI10, 
000106+010329,0.277103,1.058266,0.721,-99.,-99.00,-99.00,-99.,21.29,-99.00,BOSS HSC,GG,Y,B,,,SuGOHI8 HOLISMOKES8, 
000114+001619,0.310629,0.272141,0.664,-99.,0.67,-99.00,-99.,19.41,-99.00,HSC,GG,,B,,,HOLISMOKES8, 
000129-000241,0.373500,-0.044900,0.247,-99.,0.26,0.59,-99.,18.00,24.44,Serend,CG,V,C,,,SuGOHI5, 
000157+030146,0.489217,3.029465,-99.,-99.,-99.00,-99.00,-99.,-99.,-99.00,DR4,GQ,CHITAH,C,,,SuGOHI9, 
000158+043438,0.492786,4.577447,0.675,-99.,-99.00,-99.00,-99.,21.93,-99.00,BOSS,GG,Y,C,,,SuGOHI8, 
000222+042125,0.595733,4.357103,0.707,-99.,-99.00,-99.00,-99.,21.69,-99.00,BOSS,GG,Y,C,,,SuGOHI8, 
000300+005337,0.750000,0.893800,-99.,-99.,0.97,-99.00,-99.,21.17,21.76,Serend,GG,V,C,,,SuGOHI5, 
000313+005425,0.804500,0.907000,-99.,-99.,1.13,1.43,-99.,21.18,25.77,Cam,CG,V,B,,,SuGOHI5, 
000326-002140,0.859800,-0.361330,0.794,-99.,-99.00,-99.00,-99.,-99.,-99.00,PDR2,GG,CNN,B,,,SuGOHI10, 
000327+021020,0.862612,2.172484,-99.,-99.,0.72,-99.00,-99.,20.18,-99.00,HSC,CNN,G,B,,,HOLISMOKES8 HOLISMOKES6+13,ODlit+ODz 
000341-001011,0.923763,-0.169828,-99.,-99.,-99.00,-99.00,-99.,-99.,-99.00,DR4,GQ,CHITAH,C,,,SuGOHI9, 
000449+041056,1.204751,4.182399,0.493,-99.,-99.00,-99.00,-99.,20.44,-99.00,BOSS,GG,Y,C,,,SuGOHI8, 
000451-010316,1.216000,-1.054600,-99.,-99.,0.48,1.92,-99.,20.58,21.13,Serend,CG,V,A,,,SuGOHI5, 
000505+011005,1.274300,1.168300,-99.,-99.,1.10,-99.00,-99.,21.94,23.08,Cam,CG,V,C,,,SuGOHI5, 
000507+004518,1.281368,0.755044,-99.,-99.,0.89,-99.00,-99.,18.33,-99.00,HSC,GG,,B,,,HOLISMOKES8, 
000549+011632,1.456420,1.275710,-99.,-99.,-99.00,-99.00,-99.,-99.,-99.00,PDR2,GG,CNN,C,,,SuGOHI10, 
000644+014123,1.685800,1.689900,-99.,-99.,0.36,-99.00,-99.,19.09,-99.00,Serend HSC,CNN,VG,B,,,SuGOHI5 HOLISMOKES8 HOLISMOKES6+13,ODvis 
000656-004051,1.733800,-0.680900,-99.,-99.,0.57,1.59,-99.,19.33,27.61,CamW,CG,V,C,,,SuGOHI5, 
000659+003955,1.749120,0.665400,-99.,-99.,-99.00,-99.00,-99.,-99.,-99.00,PDR2,GG,CNN,C,,,SuGOHI10, 
000716+041544,1.816698,4.262469,-99.,-99.,-99.00,-99.00,-99.,-99.,-99.00,DR4,GQ,CHITAH,C,,,SuGOHI9, 
000728+012233,1.867624,1.376035,-99.,-99.,0.40,-99.00,-99.,20.95,-99.00,HSC,GG,,B,,,HOLISMOKES8, 
000733+022624,1.889846,2.440086,0.465,-99.,-99.00,-99.00,-99.,20.90,-99.00,BOSS,GG,Y,C,,,SuGOHI8, 
000811+011023,2.046500,1.173220,-99.,-99.,-99.00,-99.00,-99.,-99.,-99.00,PDR2,GG,CNN,C,,,SuGOHI10, 
000813+013510,2.055920,1.586340,-99.,-99.,-99.00,-99.00,-99.,-99.,-99.00,PDR2,CNN,CNNG,B,,,SuGOHI10 HOLISMOKES13, 
000814+001121,2.058700,0.189100,0.506,-99.,0.52,1.26,-99.,19.33,25.30,CamW,CG,V,C,,,SuGOHI5, 
000814+020120,2.059200,2.022300,0.367,-99.,0.37,1.16,-99.,18.37,25.39,R,CG,V,C,,,SuGOHI5, 
000831+011926,2.129490,1.324070,-99.,-99.,-99.00,-99.00,-99.,-99.,-99.00,PDR2,GG,CNN,C,,,SuGOHI10, 
000848+001550,2.203300,0.264100,0.397,-99.,0.40,0.89,-99.,18.46,-99.00,Serend PDR2 HSC,CNN,VCNG,A,,,SuGOHI5 SuGOHI10 HOLISMOKES8 HOLISMOKES6+13,ODlit 
000914+001033,2.310900,0.175800,-99.,-99.,0.57,0.97,-99.,20.16,23.89,Serend,GG,V,C,,,SuGOHI5, 
000914+014727,2.309400,1.790800,-99.,-99.,0.76,1.64,-99.,20.38,25.91,Cam,CG,V,C,,,SuGOHI5, 
